,id,description
293,anl14_low_ptprep_fy2,The Lowest estimation of Reported Pretax Profit - upcoming 2 years
294,anl14_low_ptprep_fy3,The Lowest estimation of Reported Pretax Profit - upcoming 3 years
295,anl14_low_ptprep_fy4,The Lowest estimation of Reported Pretax Profit - upcoming 4 years
296,anl14_low_ptprep_fy5,The Lowest estimation of Reported Pretax Profit - upcoming 5 years
297,anl14_low_revenue_fp1,The Lowest estimation of Revenue - upcoming quarter
298,anl14_low_revenue_fp2,The Lowest estimation of Revenue - upcoming 2 quarters
299,anl14_low_revenue_fp3,The Lowest estimation of Revenue - upcoming 3 quarters
300,anl14_low_revenue_fp4,The Lowest estimation of Revenue - upcoming 4 quarters
301,anl14_low_revenue_fp5,The Lowest estimation of Revenue - upcoming 5 quarters
302,anl14_low_revenue_fy1,The Lowest estimation of Revenue - upcoming year
303,anl14_low_revenue_fy2,The Lowest estimation of Revenue - upcoming 2 years
304,anl14_low_revenue_fy3,The Lowest estimation of Revenue - upcoming 3 years
305,anl14_low_revenue_fy4,The Lowest estimation of Revenue - upcoming 4 years
306,anl14_low_revenue_fy5,The Lowest estimation of Revenue - upcoming 5 years
307,anl14_low_roa_fy1,The Lowest estimation of Returns on Assets - upcoming year
308,anl14_low_roa_fy2,The Lowest estimation of Returns on Assets - upcoming 2 years
309,anl14_low_roa_fy3,The Lowest estimation of Returns on Assets - upcoming 3 years
310,anl14_low_roa_fy4,The Lowest estimation of Returns on Assets - upcoming 4 years
311,anl14_low_roe_fp1,The Lowest estimation of Returns on Equity - upcoming quarter
312,anl14_low_roe_fp2,The Lowest estimation of Returns on Equity - upcoming 2 quarters
313,anl14_low_roe_fp3,The Lowest estimation of Returns on Equity - upcoming 3 quarters
314,anl14_low_roe_fp4,The Lowest estimation of Returns on Equity - upcoming 4 quarters
315,anl14_low_roe_fy1,The Lowest estimation of Returns on Equity - upcoming year
316,anl14_low_roe_fy2,The Lowest estimation of Returns on Equity - upcoming 2 years
317,anl14_low_roe_fy3,The Lowest estimation of Returns on Equity - upcoming 3 years
318,anl14_low_roe_fy4,The Lowest estimation of Returns on Equity - upcoming 4 years
319,anl14_low_roe_fy5,The Lowest estimation of Returns on Equity - upcoming 5 years
320,anl14_mean_bvps_fp1,Mean of Estimations of Book Value Per Share - upcoming quarter
321,anl14_mean_bvps_fp2,Mean of Estimations of Book Value Per Share - upcoming 2 quarters
322,anl14_mean_bvps_fp3,Mean of Estimations of Book Value Per Share - upcoming 3 quarters
323,anl14_mean_bvps_fp4,Mean of Estimations of Book Value Per Share - upcoming 4 quarters
324,anl14_mean_bvps_fp5,Mean of Estimations of Book Value Per Share - upcoming 5 quarters
325,anl14_mean_bvps_fy1,Mean of Estimations of Book Value Per Share - upcoming year
